1;205;529
2;207;520
3;286;543
4;41;656
5;89;563
6;248;477
7;249;405
8;278;371
9;340;381
10;429;378
11;516;356
12;385;234
13;403;314
14;90;303
15;9;401
16;2;426
17;1;434
18;4;427
19;6;355
20;330;154
21;385;166
22;381;170
23;342;172
24;356;183
25;356;277
26;512;267
27;28;469
28;9;487
29;17;469
30;66;410
31;62;377
32;86;324
33;3;353
34;72;312
35;18;324
36;17;323
37;23;361
38;262;287
39;286;286
40;6;226
41;5;231
42;44;181
43;7;231
44;1;236
45;17;229
46;76;149
47;56;147
48;62;136
49;68;157
50;72;118
51;170;150
52;235;130
53;188;473
54;216;483
55;208;496
56;216;473
57;235;446
58;253;408
59;258;353
60;266;350
61;270;351
62;281;338
63;235;317
64;313;327
65;263;333
66;131;516
67;167;504
68;195;540
69;163;500
70;162;450
71;179;406
72;217;407
73;204;388
74;245;377
75;194;366
76;246;388
77;302;342
78;598;339
79;84;782
80;47;825
81;35;801
82;34;751
83;30;786
84;70;732
85;300;680
86;436;666
87;379;670
88;317;650
89;493;665
90;759;801
91;913;722
92;4;145
93;2;125
94;3;149
95;2;132
96;2;122
97;2;136
98;4;115
99;48;83
100;52;68
101;2;120
102;17;94
103;252;102
104;278;43
105;7;424
106;7;342
107;0;410
108;0;382
109;2;363
110;1;345
111;192;220
112;308;236
113;279;223
114;257;205
115;291;214
116;305;223
117;374;239
118;76;194
119;81;170
120;87;194
121;99;179
122;105;183
123;134;175
124;141;162
125;124;127
126;150;147
127;133;157
128;157;153
129;125;120
130;167;107
131;204;357
132;207;357
133;217;345
134;200;400
135;197;362
136;279;362
137;340;329
138;330;314
139;364;307
140;398;318
141;478;303
142;531;306
143;406;337
144;490;537
145;442;461
146;319;520
147;352;472
148;365;434
149;434;376
150;415;305
151;435;287
152;456;305
153;468;337
154;533;314
155;303;429
156;280;409
157;7;223
158;23;217
159;55;203
160;21;240
161;1;264
162;2;229
163;3;214
164;35;221
165;5;204
166;1;209
167;4;271
168;133;176
169;207;127
170;84;278
171;153;194
172;182;181
173;248;101
174;139;110
175;245;187
176;327;211
177;329;214
178;252;193
179;336;223
180;355;230
181;311;206
182;275;225
183;122;565
184;237;466
185;9;606
186;57;536
187;57;513
188;270;415
189;269;388
190;311;371
191;283;354
192;329;398
193;403;358
194;302;386
195;338;332
196;59;321
197;47;329
198;49;301
199;39;318
200;44;297
201;42;261
202;80;226
203;106;229
204;226;231
205;235;216
206;208;228
207;241;216
208;427;209
