1;1;1;1;1
2;2;1;2;2
3;3;1;3;3
4;4;1;4;4
5;5;1;5;5
6;6;1;6;6
7;7;1;7;7
8;8;1;8;8
9;9;1;9;9
10;10;1;10;10
11;11;1;11;11
12;12;1;12;12
13;13;1;13;13
14;1;2;14;14
15;2;2;15;15
16;3;2;16;16
17;4;2;17;17
18;5;2;18;18
19;6;2;19;19
20;7;2;20;20
21;8;2;21;21
22;9;2;22;22
23;10;2;23;23
24;11;2;24;24
25;12;2;25;25
26;13;2;26;26
27;1;3;27;27
28;2;3;28;28
29;3;3;29;29
30;4;3;30;30
31;5;3;31;31
32;6;3;32;32
33;7;3;33;33
34;8;3;34;34
35;9;3;35;35
36;10;3;36;36
37;11;3;37;37
38;12;3;38;38
39;13;3;39;39
40;1;4;40;40
41;2;4;41;41
42;3;4;42;42
43;4;4;43;43
44;5;4;44;44
45;6;4;45;45
46;7;4;46;46
47;8;4;47;47
48;9;4;48;48
49;10;4;49;49
50;11;4;50;50
51;12;4;51;51
52;13;4;52;52
53;1;5;53;53
54;2;5;54;54
55;3;5;55;55
56;4;5;56;56
57;5;5;57;57
58;6;5;58;58
59;7;5;59;59
60;8;5;60;60
61;9;5;61;61
62;10;5;62;62
63;11;5;63;63
64;12;5;64;64
65;13;5;65;65
66;1;6;66;66
67;2;6;67;67
68;3;6;68;68
69;4;6;69;69
70;5;6;70;70
71;6;6;71;71
72;7;6;72;72
73;8;6;73;73
74;9;6;74;74
75;10;6;75;75
76;11;6;76;76
77;12;6;77;77
78;13;6;78;78
79;1;7;79;79
80;2;7;80;80
81;3;7;81;81
82;4;7;82;82
83;5;7;83;83
84;6;7;84;84
85;7;7;85;85
86;8;7;86;86
87;9;7;87;87
88;10;7;88;88
89;11;7;89;89
90;12;7;90;90
91;13;7;91;91
92;1;8;92;92
93;2;8;93;93
94;3;8;94;94
95;4;8;95;95
96;5;8;96;96
97;6;8;97;97
98;7;8;98;98
99;8;8;99;99
100;9;8;100;100
101;10;8;101;101
102;11;8;102;102
103;12;8;103;103
104;13;8;104;104
105;1;9;105;105
106;2;9;106;106
107;3;9;107;107
108;4;9;108;108
109;5;9;109;109
110;6;9;110;110
111;7;9;111;111
112;8;9;112;112
113;9;9;113;113
114;10;9;114;114
115;11;9;115;115
116;12;9;116;116
117;13;9;117;117
118;1;10;118;118
119;2;10;119;119
120;3;10;120;120
121;4;10;121;121
122;5;10;122;122
123;6;10;123;123
124;7;10;124;124
125;8;10;125;125
126;9;10;126;126
127;10;10;127;127
128;11;10;128;128
129;12;10;129;129
130;13;10;130;130
131;1;11;131;131
132;2;11;132;132
133;3;11;133;133
134;4;11;134;134
135;5;11;135;135
136;6;11;136;136
137;7;11;137;137
138;8;11;138;138
139;9;11;139;139
140;10;11;140;140
141;11;11;141;141
142;12;11;142;142
143;13;11;143;143
144;1;12;144;144
145;2;12;145;145
146;3;12;146;146
147;4;12;147;147
148;5;12;148;148
149;6;12;149;149
150;7;12;150;150
151;8;12;151;151
152;9;12;152;152
153;10;12;153;153
154;11;12;154;154
155;12;12;155;155
156;13;12;156;156
157;1;13;157;157
158;2;13;158;158
159;3;13;159;159
160;4;13;160;160
161;5;13;161;161
162;6;13;162;162
163;7;13;163;163
164;8;13;164;164
165;9;13;165;165
166;10;13;166;166
167;11;13;167;167
168;12;13;168;168
169;13;13;169;169
170;1;14;170;170
171;2;14;171;171
172;3;14;172;172
173;4;14;173;173
174;5;14;174;174
175;6;14;175;175
176;7;14;176;176
177;8;14;177;177
178;9;14;178;178
179;10;14;179;179
180;11;14;180;180
181;12;14;181;181
182;13;14;182;182
183;1;15;183;183
184;2;15;184;184
185;3;15;185;185
186;4;15;186;186
187;5;15;187;187
188;6;15;188;188
189;7;15;189;189
190;8;15;190;190
191;9;15;191;191
192;10;15;192;192
193;11;15;193;193
194;12;15;194;194
195;13;15;195;195
196;1;16;196;196
197;2;16;197;197
198;3;16;198;198
199;4;16;199;199
200;5;16;200;200
201;6;16;201;201
202;7;16;202;202
203;8;16;203;203
204;9;16;204;204
205;10;16;205;205
206;11;16;206;206
207;12;16;207;207
208;13;16;208;208
