11;1
11;4
128;55
128;58
141;61
141;64
154;67
154;70
167;73
167;76
180;79
180;82
193;85
193;88
206;91
206;94
24;7
24;10
37;13
37;16
50;19
50;22
63;25
63;28
76;31
76;34
89;37
89;40
102;43
102;46
115;49
115;52
12;2
12;5
129;56
129;59
142;62
142;65
155;68
155;71
168;74
168;77
181;80
181;83
194;86
194;89
207;92
207;95
25;8
25;11
38;14
38;17
51;20
51;23
64;26
64;29
77;32
77;35
90;38
90;41
103;44
103;47
116;50
116;53
13;3
13;6
130;57
130;60
143;63
143;66
156;69
156;72
169;75
169;78
182;81
182;84
195;87
195;90
208;93
208;96
26;9
26;12
39;15
39;18
52;21
52;24
65;27
65;30
78;33
78;36
91;39
91;42
104;45
104;48
117;51
117;54
